FID,Lat,Lon,lat1,lon1,lat2,lon4,output
69,20.277,110.22,20.272,110.215,20.282,110.225,8
70,20.277,110.23,20.272,110.225,20.282,110.235,54
71,20.277,110.24,20.272,110.235,20.282,110.245,39
72,20.277,110.25,20.272,110.245,20.282,110.255,14
73,20.277,110.26,20.272,110.255,20.282,110.265,72
74,20.277,110.27,20.272,110.265,20.282,110.275,45
75,20.277,110.28,20.272,110.275,20.282,110.285,63
76,20.277,110.29,20.272,110.285,20.282,110.295,23
77,20.277,110.3,20.272,110.295,20.282,110.305,50
78,20.277,110.31,20.272,110.305,20.282,110.315,90
79,20.277,110.32,20.272,110.315,20.282,110.325,27
80,20.277,110.33,20.272,110.325,20.282,110.335,7
81,20.287,109.94,20.282,109.935,20.292,109.945,47
82,20.287,109.95,20.282,109.945,20.292,109.955,50
83,20.287,109.96,20.282,109.955,20.292,109.965,85
84,20.287,109.97,20.282,109.965,20.292,109.975,18
85,20.287,109.98,20.282,109.975,20.292,109.985,27
86,20.287,110,20.282,109.995,20.292,110.005,2
87,20.287,110.01,20.282,110.005,20.292,110.015,77
88,20.287,110.03,20.282,110.025,20.292,110.035,48
89,20.287,110.06,20.282,110.055,20.292,110.065,80
90,20.287,110.07,20.282,110.065,20.292,110.075,89
91,20.287,110.08,20.282,110.075,20.292,110.085,87
92,20.287,110.09,20.282,110.085,20.292,110.095,14
93,20.287,110.1,20.282,110.095,20.292,110.105,47
94,20.287,110.11,20.282,110.105,20.292,110.115,15
95,20.287,110.12,20.282,110.115,20.292,110.125,37
96,20.287,110.13,20.282,110.125,20.292,110.135,22
97,20.287,110.14,20.282,110.135,20.292,110.145,38
98,20.287,110.15,20.282,110.145,20.292,110.155,38
99,20.287,110.16,20.282,110.155,20.292,110.165,40
100,20.287,110.17,20.282,110.165,20.292,110.175,3
101,20.287,110.18,20.282,110.175,20.292,110.185,11
102,20.287,110.19,20.282,110.185,20.292,110.195,65
103,20.287,110.2,20.282,110.195,20.292,110.205,58
104,20.287,110.21,20.282,110.205,20.292,110.215,69
105,20.287,110.22,20.282,110.215,20.292,110.225,77
106,20.287,110.23,20.282,110.225,20.292,110.235,80
107,20.287,110.24,20.282,110.235,20.292,110.245,63
108,20.287,110.25,20.282,110.245,20.292,110.255,22
109,20.287,110.26,20.282,110.255,20.292,110.265,71
110,20.287,110.27,20.282,110.265,20.292,110.275,7
111,20.287,110.28,20.282,110.275,20.292,110.285,48
112,20.287,110.29,20.282,110.285,20.292,110.295,5
113,20.287,110.3,20.282,110.295,20.292,110.305,85
114,20.287,110.31,20.282,110.305,20.292,110.315,53
115,20.287,110.32,20.282,110.315,20.292,110.325,11
116,20.287,110.33,20.282,110.325,20.292,110.335,45
117,20.287,110.34,20.282,110.335,20.292,110.345,10
118,20.287,110.35,20.282,110.345,20.292,110.355,10
119,20.297,109.94,20.292,109.935,20.302,109.945,2
120,20.297,109.95,20.292,109.945,20.302,109.955,0
121,20.297,109.96,20.292,109.955,20.302,109.965,57
122,20.297,109.97,20.292,109.965,20.302,109.975,8
123,20.297,109.98,20.292,109.975,20.302,109.985,84
124,20.297,109.99,20.292,109.985,20.302,109.995,79
125,20.297,110,20.292,109.995,20.302,110.005,74
126,20.297,110.01,20.292,110.005,20.302,110.015,82
127,20.297,110.02,20.292,110.015,20.302,110.025,59
128,20.297,110.03,20.292,110.025,20.302,110.035,87
129,20.297,110.04,20.292,110.035,20.302,110.045,35
130,20.297,110.05,20.292,110.045,20.302,110.055,7
131,20.297,110.06,20.292,110.055,20.302,110.065,44
132,20.297,110.07,20.292,110.065,20.302,110.075,62
133,20.297,110.08,20.292,110.075,20.302,110.085,55
134,20.297,110.09,20.292,110.085,20.302,110.095,48
135,20.297,110.1,20.292,110.095,20.302,110.105,0
136,20.297,110.11,20.292,110.105,20.302,110.115,72
137,20.297,110.12,20.292,110.115,20.302,110.125,33
138,20.297,110.13,20.292,110.125,20.302,110.135,85
139,20.297,110.14,20.292,110.135,20.302,110.145,64
140,20.297,110.15,20.292,110.145,20.302,110.155,71
141,20.297,110.16,20.292,110.155,20.302,110.165,47
142,20.297,110.17,20.292,110.165,20.302,110.175,15
143,20.297,110.18,20.292,110.175,20.302,110.185,34
144,20.297,110.19,20.292,110.185,20.302,110.195,41
145,20.297,110.2,20.292,110.195,20.302,110.205,61
146,20.297,110.21,20.292,110.205,20.302,110.215,15
147,20.297,110.22,20.292,110.215,20.302,110.225,71
148,20.297,110.23,20.292,110.225,20.302,110.235,39
149,20.297,110.24,20.292,110.235,20.302,110.245,2
150,20.297,110.25,20.292,110.245,20.302,110.255,27
151,20.297,110.26,20.292,110.255,20.302,110.265,15
152,20.297,110.27,20.292,110.265,20.302,110.275,25
153,20.297,110.28,20.292,110.275,20.302,110.285,15
154,20.297,110.29,20.292,110.285,20.302,110.295,60
155,20.297,110.3,20.292,110.295,20.302,110.305,65
156,20.297,110.31,20.292,110.305,20.302,110.315,2
157,20.297,110.32,20.292,110.315,20.302,110.325,2
158,20.297,110.33,20.292,110.325,20.302,110.335,47
159,20.297,110.34,20.292,110.335,20.302,110.345,90
160,20.297,110.35,20.292,110.345,20.302,110.355,70
161,20.307,109.94,20.302,109.935,20.312,109.945,80
162,20.307,109.95,20.302,109.945,20.312,109.955,8
163,20.307,109.96,20.302,109.955,20.312,109.965,36
164,20.307,109.97,20.302,109.965,20.312,109.975,34
165,20.307,109.98,20.302,109.975,20.312,109.985,84
166,20.307,109.99,20.302,109.985,20.312,109.995,80
167,20.307,110,20.302,109.995,20.312,110.005,16
168,20.307,110.01,20.302,110.005,20.312,110.015,9
169,20.307,110.02,20.302,110.015,20.312,110.025,9
170,20.307,110.03,20.302,110.025,20.312,110.035,35
171,20.307,110.04,20.302,110.035,20.312,110.045,81
172,20.307,110.05,20.302,110.045,20.312,110.055,79
173,20.307,110.06,20.302,110.055,20.312,110.065,79
174,20.307,110.07,20.302,110.065,20.312,110.075,61
175,20.307,110.08,20.302,110.075,20.312,110.085,13
176,20.307,110.09,20.302,110.085,20.312,110.095,10
177,20.307,110.1,20.302,110.095,20.312,110.105,21
178,20.307,110.11,20.302,110.105,20.312,110.115,32
179,20.307,110.12,20.302,110.115,20.312,110.125,31
180,20.307,110.13,20.302,110.125,20.312,110.135,7
181,20.307,110.14,20.302,110.135,20.312,110.145,24
182,20.307,110.15,20.302,110.145,20.312,110.155,27
183,20.307,110.16,20.302,110.155,20.312,110.165,18
184,20.307,110.17,20.302,110.165,20.312,110.175,16
185,20.307,110.18,20.302,110.175,20.312,110.185,73
186,20.307,110.19,20.302,110.185,20.312,110.195,81
187,20.307,110.2,20.302,110.195,20.312,110.205,22
188,20.307,110.21,20.302,110.205,20.312,110.215,45
189,20.307,110.22,20.302,110.215,20.312,110.225,60
190,20.307,110.23,20.302,110.225,20.312,110.235,47
191,20.307,110.24,20.302,110.235,20.312,110.245,6
192,20.307,110.25,20.302,110.245,20.312,110.255,49
193,20.307,110.26,20.302,110.255,20.312,110.265,62
194,20.307,110.27,20.302,110.265,20.312,110.275,61
195,20.307,110.28,20.302,110.275,20.312,110.285,88
196,20.307,110.29,20.302,110.285,20.312,110.295,13
197,20.307,110.3,20.302,110.295,20.312,110.305,54
198,20.307,110.31,20.302,110.305,20.312,110.315,24
199,20.307,110.32,20.302,110.315,20.312,110.325,63
200,20.307,110.33,20.302,110.325,20.312,110.335,62
201,20.307,110.34,20.302,110.335,20.312,110.345,84
202,20.307,110.35,20.302,110.345,20.312,110.355,6
203,20.307,110.36,20.302,110.355,20.312,110.365,24
204,20.307,110.37,20.302,110.365,20.312,110.375,48
205,20.307,110.39,20.302,110.385,20.312,110.395,76
206,20.307,110.4,20.302,110.395,20.312,110.405,84
207,20.317,109.93,20.312,109.925,20.322,109.935,65
208,20.317,109.94,20.312,109.935,20.322,109.945,36
209,20.317,109.95,20.312,109.945,20.322,109.955,3
210,20.317,109.96,20.312,109.955,20.322,109.965,51
211,20.317,109.97,20.312,109.965,20.322,109.975,59
212,20.317,109.98,20.312,109.975,20.322,109.985,42
213,20.317,109.99,20.312,109.985,20.322,109.995,70
214,20.317,110,20.312,109.995,20.322,110.005,47
215,20.317,110.01,20.312,110.005,20.322,110.015,14
216,20.317,110.02,20.312,110.015,20.322,110.025,20
217,20.317,110.03,20.312,110.025,20.322,110.035,61
218,20.317,110.04,20.312,110.035,20.322,110.045,55
219,20.317,110.05,20.312,110.045,20.322,110.055,30
220,20.317,110.06,20.312,110.055,20.322,110.065,57
221,20.317,110.07,20.312,110.065,20.322,110.075,16
222,20.317,110.08,20.312,110.075,20.322,110.085,21
223,20.317,110.09,20.312,110.085,20.322,110.095,30
224,20.317,110.1,20.312,110.095,20.322,110.105,31
225,20.317,110.11,20.312,110.105,20.322,110.115,32
226,20.317,110.12,20.312,110.115,20.322,110.125,41
227,20.317,110.13,20.312,110.125,20.322,110.135,10
228,20.317,110.14,20.312,110.135,20.322,110.145,75
229,20.317,110.15,20.312,110.145,20.322,110.155,76
230,20.317,110.16,20.312,110.155,20.322,110.165,6
231,20.317,110.17,20.312,110.165,20.322,110.175,56
232,20.317,110.18,20.312,110.175,20.322,110.185,50
233,20.317,110.19,20.312,110.185,20.322,110.195,18
234,20.317,110.2,20.312,110.195,20.322,110.205,24
235,20.317,110.21,20.312,110.205,20.322,110.215,22
236,20.317,110.22,20.312,110.215,20.322,110.225,1
237,20.317,110.23,20.312,110.225,20.322,110.235,83
238,20.317,110.24,20.312,110.235,20.322,110.245,23
239,20.317,110.25,20.312,110.245,20.322,110.255,75
240,20.317,110.26,20.312,110.255,20.322,110.265,87
241,20.317,110.27,20.312,110.265,20.322,110.275,51
242,20.317,110.28,20.312,110.275,20.322,110.285,81
243,20.317,110.29,20.312,110.285,20.322,110.295,72
244,20.317,110.3,20.312,110.295,20.322,110.305,10
245,20.317,110.31,20.312,110.305,20.322,110.315,9
246,20.317,110.32,20.312,110.315,20.322,110.325,80
247,20.317,110.33,20.312,110.325,20.322,110.335,68
248,20.317,110.34,20.312,110.335,20.322,110.345,39
249,20.317,110.35,20.312,110.345,20.322,110.355,35
250,20.317,110.36,20.312,110.355,20.322,110.365,73
251,20.317,110.37,20.312,110.365,20.322,110.375,72
252,20.317,110.38,20.312,110.375,20.322,110.385,41
253,20.317,110.39,20.312,110.385,20.322,110.395,10
254,20.317,110.4,20.312,110.395,20.322,110.405,83
255,20.317,110.41,20.312,110.405,20.322,110.415,18
256,20.327,109.93,20.322,109.925,20.332,109.935,11
257,20.327,109.94,20.322,109.935,20.332,109.945,50
258,20.327,109.95,20.322,109.945,20.332,109.955,23
259,20.327,109.96,20.322,109.955,20.332,109.965,37
260,20.327,109.97,20.322,109.965,20.332,109.975,62
261,20.327,109.98,20.322,109.975,20.332,109.985,11
262,20.327,109.99,20.322,109.985,20.332,109.995,15
263,20.327,110,20.322,109.995,20.332,110.005,42
264,20.327,110.01,20.322,110.005,20.332,110.015,33
265,20.327,110.02,20.322,110.015,20.332,110.025,37
266,20.327,110.03,20.322,110.025,20.332,110.035,43
267,20.327,110.04,20.322,110.035,20.332,110.045,20
268,20.327,110.05,20.322,110.045,20.332,110.055,69
269,20.327,110.06,20.322,110.055,20.332,110.065,20
270,20.327,110.07,20.322,110.065,20.332,110.075,66
271,20.327,110.08,20.322,110.075,20.332,110.085,40
272,20.327,110.09,20.322,110.085,20.332,110.095,76
273,20.327,110.1,20.322,110.095,20.332,110.105,7
274,20.327,110.11,20.322,110.105,20.332,110.115,7
275,20.327,110.12,20.322,110.115,20.332,110.125,6
276,20.327,110.13,20.322,110.125,20.332,110.135,61
277,20.327,110.14,20.322,110.135,20.332,110.145,66
278,20.327,110.15,20.322,110.145,20.332,110.155,33
279,20.327,110.16,20.322,110.155,20.332,110.165,88
280,20.327,110.17,20.322,110.165,20.332,110.175,73
281,20.327,110.18,20.322,110.175,20.332,110.185,11
282,20.327,110.19,20.322,110.185,20.332,110.195,7
283,20.327,110.2,20.322,110.195,20.332,110.205,50
284,20.327,110.21,20.322,110.205,20.332,110.215,43
285,20.327,110.22,20.322,110.215,20.332,110.225,88
286,20.327,110.23,20.322,110.225,20.332,110.235,56
287,20.327,110.24,20.322,110.235,20.332,110.245,54
288,20.327,110.25,20.322,110.245,20.332,110.255,59
289,20.327,110.26,20.322,110.255,20.332,110.265,9
290,20.327,110.27,20.322,110.265,20.332,110.275,1
291,20.327,110.28,20.322,110.275,20.332,110.285,60
292,20.327,110.29,20.322,110.285,20.332,110.295,66
293,20.327,110.3,20.322,110.295,20.332,110.305,9
294,20.327,110.31,20.322,110.305,20.332,110.315,32
295,20.327,110.32,20.322,110.315,20.332,110.325,47
296,20.327,110.33,20.322,110.325,20.332,110.335,88
297,20.327,110.34,20.322,110.335,20.332,110.345,70
298,20.327,110.35,20.322,110.345,20.332,110.355,77
299,20.327,110.36,20.322,110.355,20.332,110.365,88
300,20.327,110.37,20.322,110.365,20.332,110.375,89
301,20.327,110.38,20.322,110.375,20.332,110.385,31
302,20.327,110.39,20.322,110.385,20.332,110.395,43
303,20.327,110.4,20.322,110.395,20.332,110.405,77
304,20.327,110.41,20.322,110.405,20.332,110.415,0
305,20.327,110.42,20.322,110.415,20.332,110.425,29
306,20.327,110.43,20.322,110.425,20.332,110.435,20
307,20.337,109.93,20.332,109.925,20.342,109.935,79
308,20.337,109.94,20.332,109.935,20.342,109.945,62
309,20.337,109.95,20.332,109.945,20.342,109.955,13
310,20.337,109.96,20.332,109.955,20.342,109.965,11
311,20.337,109.97,20.332,109.965,20.342,109.975,48
312,20.337,109.98,20.332,109.975,20.342,109.985,32
313,20.337,109.99,20.332,109.985,20.342,109.995,3
314,20.337,110,20.332,109.995,20.342,110.005,70
315,20.337,110.01,20.332,110.005,20.342,110.015,18
316,20.337,110.02,20.332,110.015,20.342,110.025,32
317,20.337,110.03,20.332,110.025,20.342,110.035,67
318,20.337,110.04,20.332,110.035,20.342,110.045,87
319,20.337,110.05,20.332,110.045,20.342,110.055,31
320,20.337,110.06,20.332,110.055,20.342,110.065,35
321,20.337,110.07,20.332,110.065,20.342,110.075,75
322,20.337,110.08,20.332,110.075,20.342,110.085,3
323,20.337,110.09,20.332,110.085,20.342,110.095,11
324,20.337,110.1,20.332,110.095,20.342,110.105,66
325,20.337,110.11,20.332,110.105,20.342,110.115,69
326,20.337,110.12,20.332,110.115,20.342,110.125,6
327,20.337,110.13,20.332,110.125,20.342,110.135,59
328,20.337,110.14,20.332,110.135,20.342,110.145,32
329,20.337,110.15,20.332,110.145,20.342,110.155,78
330,20.337,110.16,20.332,110.155,20.342,110.165,55
331,20.337,110.17,20.332,110.165,20.342,110.175,36
332,20.337,110.18,20.332,110.175,20.342,110.185,54
333,20.337,110.19,20.332,110.185,20.342,110.195,37
334,20.337,110.2,20.332,110.195,20.342,110.205,61
335,20.337,110.21,20.332,110.205,20.342,110.215,18
336,20.337,110.22,20.332,110.215,20.342,110.225,8
337,20.337,110.23,20.332,110.225,20.342,110.235,61
338,20.337,110.24,20.332,110.235,20.342,110.245,34
339,20.337,110.25,20.332,110.245,20.342,110.255,83
340,20.337,110.26,20.332,110.255,20.342,110.265,16
341,20.337,110.27,20.332,110.265,20.342,110.275,1
342,20.337,110.28,20.332,110.275,20.342,110.285,11
343,20.337,110.29,20.332,110.285,20.342,110.295,15
344,20.337,110.3,20.332,110.295,20.342,110.305,53
345,20.337,110.31,20.332,110.305,20.342,110.315,22
346,20.337,110.32,20.332,110.315,20.342,110.325,43
347,20.337,110.33,20.332,110.325,20.342,110.335,2
348,20.337,110.34,20.332,110.335,20.342,110.345,24
349,20.337,110.35,20.332,110.345,20.342,110.355,70
350,20.337,110.36,20.332,110.355,20.342,110.365,48
351,20.337,110.37,20.332,110.365,20.342,110.375,44
352,20.337,110.38,20.332,110.375,20.342,110.385,85
353,20.337,110.39,20.332,110.385,20.342,110.395,73
354,20.337,110.4,20.332,110.395,20.342,110.405,58
355,20.337,110.41,20.332,110.405,20.342,110.415,47
356,20.337,110.42,20.332,110.415,20.342,110.425,9
357,20.337,110.43,20.332,110.425,20.342,110.435,5
358,20.337,110.44,20.332,110.435,20.342,110.445,88
359,20.347,109.92,20.342,109.915,20.352,109.925,50
360,20.347,109.93,20.342,109.925,20.352,109.935,83
361,20.347,109.94,20.342,109.935,20.352,109.945,50
362,20.347,109.95,20.342,109.945,20.352,109.955,32
363,20.347,109.96,20.342,109.955,20.352,109.965,25
364,20.347,109.97,20.342,109.965,20.352,109.975,51
365,20.347,109.98,20.342,109.975,20.352,109.985,33
366,20.347,109.99,20.342,109.985,20.352,109.995,55
367,20.347,110,20.342,109.995,20.352,110.005,35
368,20.347,110.01,20.342,110.005,20.352,110.015,89
369,20.347,110.02,20.342,110.015,20.352,110.025,24
370,20.347,110.03,20.342,110.025,20.352,110.035,56
371,20.347,110.04,20.342,110.035,20.352,110.045,0
372,20.347,110.05,20.342,110.045,20.352,110.055,15
373,20.347,110.06,20.342,110.055,20.352,110.065,24
374,20.347,110.07,20.342,110.065,20.352,110.075,40
375,20.347,110.08,20.342,110.075,20.352,110.085,39
376,20.347,110.09,20.342,110.085,20.352,110.095,84
377,20.347,110.1,20.342,110.095,20.352,110.105,84
378,20.347,110.11,20.342,110.105,20.352,110.115,6
379,20.347,110.12,20.342,110.115,20.352,110.125,42
380,20.347,110.13,20.342,110.125,20.352,110.135,90
381,20.347,110.14,20.342,110.135,20.352,110.145,10
382,20.347,110.15,20.342,110.145,20.352,110.155,50
383,20.347,110.16,20.342,110.155,20.352,110.165,82
384,20.347,110.17,20.342,110.165,20.352,110.175,28
385,20.347,110.18,20.342,110.175,20.352,110.185,76
386,20.347,110.19,20.342,110.185,20.352,110.195,71
387,20.347,110.2,20.342,110.195,20.352,110.205,35
388,20.347,110.21,20.342,110.205,20.352,110.215,12
389,20.347,110.22,20.342,110.215,20.352,110.225,30
390,20.347,110.23,20.342,110.225,20.352,110.235,51
391,20.347,110.24,20.342,110.235,20.352,110.245,66
392,20.347,110.25,20.342,110.245,20.352,110.255,23
393,20.347,110.26,20.342,110.255,20.352,110.265,30
394,20.347,110.27,20.342,110.265,20.352,110.275,32
395,20.347,110.28,20.342,110.275,20.352,110.285,26
396,20.347,110.29,20.342,110.285,20.352,110.295,55
397,20.347,110.3,20.342,110.295,20.352,110.305,81
398,20.347,110.31,20.342,110.305,20.352,110.315,53
399,20.347,110.32,20.342,110.315,20.352,110.325,80
400,20.347,110.33,20.342,110.325,20.352,110.335,44
401,20.347,110.34,20.342,110.335,20.352,110.345,56
402,20.347,110.35,20.342,110.345,20.352,110.355,56
403,20.347,110.36,20.342,110.355,20.352,110.365,44
404,20.347,110.37,20.342,110.365,20.352,110.375,86
405,20.347,110.38,20.342,110.375,20.352,110.385,71
406,20.347,110.39,20.342,110.385,20.352,110.395,80
407,20.347,110.4,20.342,110.395,20.352,110.405,33
408,20.347,110.41,20.342,110.405,20.352,110.415,47
409,20.347,110.42,20.342,110.415,20.352,110.425,51
410,20.347,110.43,20.342,110.425,20.352,110.435,38
411,20.347,110.44,20.342,110.435,20.352,110.445,37
412,20.347,110.57,20.342,110.565,20.352,110.575,78
413,20.357,109.91,20.352,109.905,20.362,109.915,60
414,20.357,109.92,20.352,109.915,20.362,109.925,86
415,20.357,109.93,20.352,109.925,20.362,109.935,27
416,20.357,109.94,20.352,109.935,20.362,109.945,80
417,20.357,109.95,20.352,109.945,20.362,109.955,38
418,20.357,109.96,20.352,109.955,20.362,109.965,39
419,20.357,109.97,20.352,109.965,20.362,109.975,12
420,20.357,109.98,20.352,109.975,20.362,109.985,82
421,20.357,109.99,20.352,109.985,20.362,109.995,53
422,20.357,110,20.352,109.995,20.362,110.005,90
423,20.357,110.01,20.352,110.005,20.362,110.015,25
424,20.357,110.02,20.352,110.015,20.362,110.025,87
425,20.357,110.03,20.352,110.025,20.362,110.035,41
426,20.357,110.04,20.352,110.035,20.362,110.045,5
427,20.357,110.05,20.352,110.045,20.362,110.055,16
428,20.357,110.06,20.352,110.055,20.362,110.065,47
429,20.357,110.07,20.352,110.065,20.362,110.075,75
430,20.357,110.08,20.352,110.075,20.362,110.085,77
431,20.357,110.09,20.352,110.085,20.362,110.095,25
432,20.357,110.1,20.352,110.095,20.362,110.105,22
433,20.357,110.11,20.352,110.105,20.362,110.115,51
434,20.357,110.12,20.352,110.115,20.362,110.125,62
435,20.357,110.13,20.352,110.125,20.362,110.135,83
436,20.357,110.14,20.352,110.135,20.362,110.145,34
437,20.357,110.15,20.352,110.145,20.362,110.155,32
438,20.357,110.16,20.352,110.155,20.362,110.165,44
439,20.357,110.17,20.352,110.165,20.362,110.175,29
440,20.357,110.18,20.352,110.175,20.362,110.185,82
441,20.357,110.19,20.352,110.185,20.362,110.195,1
442,20.357,110.2,20.352,110.195,20.362,110.205,90
443,20.357,110.21,20.352,110.205,20.362,110.215,81
444,20.357,110.22,20.352,110.215,20.362,110.225,75
445,20.357,110.23,20.352,110.225,20.362,110.235,78
446,20.357,110.24,20.352,110.235,20.362,110.245,33
447,20.357,110.25,20.352,110.245,20.362,110.255,9
448,20.357,110.26,20.352,110.255,20.362,110.265,5
449,20.357,110.27,20.352,110.265,20.362,110.275,1
450,20.357,110.28,20.352,110.275,20.362,110.285,21
451,20.357,110.29,20.352,110.285,20.362,110.295,46
452,20.357,110.3,20.352,110.295,20.362,110.305,86
453,20.357,110.31,20.352,110.305,20.362,110.315,81
454,20.357,110.32,20.352,110.315,20.362,110.325,60
455,20.357,110.33,20.352,110.325,20.362,110.335,32
456,20.357,110.34,20.352,110.335,20.362,110.345,54
457,20.357,110.35,20.352,110.345,20.362,110.355,1
458,20.357,110.36,20.352,110.355,20.362,110.365,37
459,20.357,110.37,20.352,110.365,20.362,110.375,57
460,20.357,110.38,20.352,110.375,20.362,110.385,49
461,20.357,110.39,20.352,110.385,20.362,110.395,53
462,20.357,110.4,20.352,110.395,20.362,110.405,77
463,20.357,110.41,20.352,110.405,20.362,110.415,71
464,20.357,110.42,20.352,110.415,20.362,110.425,0
465,20.357,110.43,20.352,110.425,20.362,110.435,1
466,20.357,110.44,20.352,110.435,20.362,110.445,33
467,20.357,110.45,20.352,110.445,20.362,110.455,4
468,20.357,110.58,20.352,110.575,20.362,110.585,25
469,20.367,109.89,20.362,109.885,20.372,109.895,27
470,20.367,109.9,20.362,109.895,20.372,109.905,53
471,20.367,109.91,20.362,109.905,20.372,109.915,0
472,20.367,109.92,20.362,109.915,20.372,109.925,79
473,20.367,109.93,20.362,109.925,20.372,109.935,39
474,20.367,109.94,20.362,109.935,20.372,109.945,9
475,20.367,109.95,20.362,109.945,20.372,109.955,25
476,20.367,109.96,20.362,109.955,20.372,109.965,21
477,20.367,109.97,20.362,109.965,20.372,109.975,41
478,20.367,109.99,20.362,109.985,20.372,109.995,31
479,20.367,110,20.362,109.995,20.372,110.005,2
480,20.367,110.01,20.362,110.005,20.372,110.015,76
481,20.367,110.02,20.362,110.015,20.372,110.025,57
482,20.367,110.03,20.362,110.025,20.372,110.035,74
483,20.367,110.04,20.362,110.035,20.372,110.045,60
484,20.367,110.05,20.362,110.045,20.372,110.055,47
485,20.367,110.06,20.362,110.055,20.372,110.065,39
486,20.367,110.07,20.362,110.065,20.372,110.075,68
487,20.367,110.08,20.362,110.075,20.372,110.085,16
488,20.367,110.09,20.362,110.085,20.372,110.095,67
489,20.367,110.1,20.362,110.095,20.372,110.105,77
490,20.367,110.11,20.362,110.105,20.372,110.115,77
491,20.367,110.12,20.362,110.115,20.372,110.125,80
492,20.367,110.13,20.362,110.125,20.372,110.135,19
493,20.367,110.14,20.362,110.135,20.372,110.145,8
494,20.367,110.15,20.362,110.145,20.372,110.155,5
495,20.367,110.16,20.362,110.155,20.372,110.165,82
496,20.367,110.17,20.362,110.165,20.372,110.175,64
497,20.367,110.18,20.362,110.175,20.372,110.185,41
