FID,Lat,Lon,lat1,lon1,lat2,lon2,output
66,20.277,110.18,20.272,110.175,20.282,110.185,91
67,20.277,110.19,20.272,110.185,20.282,110.195,78
68,20.277,110.2,20.272,110.195,20.282,110.205,43
69,20.277,110.21,20.272,110.205,20.282,110.215,45
70,20.277,110.22,20.272,110.215,20.282,110.225,92
71,20.277,110.23,20.272,110.225,20.282,110.235,12
72,20.277,110.24,20.272,110.235,20.282,110.245,94
73,20.277,110.25,20.272,110.245,20.282,110.255,85
74,20.277,110.26,20.272,110.255,20.282,110.265,90
75,20.277,110.27,20.272,110.265,20.282,110.275,44
76,20.277,110.28,20.272,110.275,20.282,110.285,31
77,20.277,110.29,20.272,110.285,20.282,110.295,21
78,20.277,110.3,20.272,110.295,20.282,110.305,77
79,20.277,110.31,20.272,110.305,20.282,110.315,59
80,20.277,110.32,20.272,110.315,20.282,110.325,14
81,20.277,110.33,20.272,110.325,20.282,110.335,31
82,20.287,109.94,20.282,109.935,20.292,109.945,25
83,20.287,109.95,20.282,109.945,20.292,109.955,31
84,20.287,109.96,20.282,109.955,20.292,109.965,81
85,20.287,109.97,20.282,109.965,20.292,109.975,35
86,20.287,109.98,20.282,109.975,20.292,109.985,21
87,20.287,110,20.282,109.995,20.292,110.005,63
88,20.287,110.01,20.282,110.005,20.292,110.015,69
89,20.287,110.03,20.282,110.025,20.292,110.035,11
90,20.287,110.06,20.282,110.055,20.292,110.065,37
91,20.287,110.07,20.282,110.065,20.292,110.075,46
92,20.287,110.08,20.282,110.075,20.292,110.085,50
93,20.287,110.09,20.282,110.085,20.292,110.095,9
94,20.287,110.1,20.282,110.095,20.292,110.105,58
95,20.287,110.11,20.282,110.105,20.292,110.115,88
96,20.287,110.12,20.282,110.115,20.292,110.125,23
97,20.287,110.13,20.282,110.125,20.292,110.135,57
98,20.287,110.14,20.282,110.135,20.292,110.145,85
99,20.287,110.15,20.282,110.145,20.292,110.155,62
100,20.287,110.16,20.282,110.155,20.292,110.165,20
101,20.287,110.17,20.282,110.165,20.292,110.175,9
102,20.287,110.18,20.282,110.175,20.292,110.185,35
103,20.287,110.19,20.282,110.185,20.292,110.195,93
104,20.287,110.2,20.282,110.195,20.292,110.205,89
105,20.287,110.21,20.282,110.205,20.292,110.215,44
106,20.287,110.22,20.282,110.215,20.292,110.225,36
107,20.287,110.23,20.282,110.225,20.292,110.235,62
108,20.287,110.24,20.282,110.235,20.292,110.245,29
109,20.287,110.25,20.282,110.245,20.292,110.255,0
110,20.287,110.26,20.282,110.255,20.292,110.265,34
111,20.287,110.27,20.282,110.265,20.292,110.275,55
112,20.287,110.28,20.282,110.275,20.292,110.285,39
113,20.287,110.29,20.282,110.285,20.292,110.295,36
114,20.287,110.3,20.282,110.295,20.292,110.305,18
115,20.287,110.31,20.282,110.305,20.292,110.315,6
116,20.287,110.32,20.282,110.315,20.292,110.325,39
117,20.287,110.33,20.282,110.325,20.292,110.335,50
118,20.287,110.34,20.282,110.335,20.292,110.345,12
119,20.287,110.35,20.282,110.345,20.292,110.355,75
120,20.297,109.94,20.292,109.935,20.302,109.945,3
121,20.297,109.95,20.292,109.945,20.302,109.955,33
122,20.297,109.96,20.292,109.955,20.302,109.965,9
123,20.297,109.97,20.292,109.965,20.302,109.975,45
124,20.297,109.98,20.292,109.975,20.302,109.985,95
125,20.297,109.99,20.292,109.985,20.302,109.995,57
126,20.297,110,20.292,109.995,20.302,110.005,48
127,20.297,110.01,20.292,110.005,20.302,110.015,12
128,20.297,110.02,20.292,110.015,20.302,110.025,61
129,20.297,110.03,20.292,110.025,20.302,110.035,12
130,20.297,110.04,20.292,110.035,20.302,110.045,12
131,20.297,110.05,20.292,110.045,20.302,110.055,7
132,20.297,110.06,20.292,110.055,20.302,110.065,72
133,20.297,110.07,20.292,110.065,20.302,110.075,38
134,20.297,110.08,20.292,110.075,20.302,110.085,60
135,20.297,110.09,20.292,110.085,20.302,110.095,72
136,20.297,110.1,20.292,110.095,20.302,110.105,79
137,20.297,110.11,20.292,110.105,20.302,110.115,39
138,20.297,110.12,20.292,110.115,20.302,110.125,64
139,20.297,110.13,20.292,110.125,20.302,110.135,54
140,20.297,110.14,20.292,110.135,20.302,110.145,83
141,20.297,110.15,20.292,110.145,20.302,110.155,94
142,20.297,110.16,20.292,110.155,20.302,110.165,4
143,20.297,110.17,20.292,110.165,20.302,110.175,10
144,20.297,110.18,20.292,110.175,20.302,110.185,95
145,20.297,110.19,20.292,110.185,20.302,110.195,81
146,20.297,110.2,20.292,110.195,20.302,110.205,50
147,20.297,110.21,20.292,110.205,20.302,110.215,6
148,20.297,110.22,20.292,110.215,20.302,110.225,23
149,20.297,110.23,20.292,110.225,20.302,110.235,4
150,20.297,110.24,20.292,110.235,20.302,110.245,29
151,20.297,110.25,20.292,110.245,20.302,110.255,64
152,20.297,110.26,20.292,110.255,20.302,110.265,2
153,20.297,110.27,20.292,110.265,20.302,110.275,31
154,20.297,110.28,20.292,110.275,20.302,110.285,45
155,20.297,110.29,20.292,110.285,20.302,110.295,91
156,20.297,110.3,20.292,110.295,20.302,110.305,52
157,20.297,110.31,20.292,110.305,20.302,110.315,71
158,20.297,110.32,20.292,110.315,20.302,110.325,90
159,20.297,110.33,20.292,110.325,20.302,110.335,31
160,20.297,110.34,20.292,110.335,20.302,110.345,8
161,20.297,110.35,20.292,110.345,20.302,110.355,5
162,20.307,109.94,20.302,109.935,20.312,109.945,0
163,20.307,109.95,20.302,109.945,20.312,109.955,6
164,20.307,109.96,20.302,109.955,20.312,109.965,44
165,20.307,109.97,20.302,109.965,20.312,109.975,35
166,20.307,109.98,20.302,109.975,20.312,109.985,92
167,20.307,109.99,20.302,109.985,20.312,109.995,3
168,20.307,110,20.302,109.995,20.312,110.005,88
169,20.307,110.01,20.302,110.005,20.312,110.015,69
170,20.307,110.02,20.302,110.015,20.312,110.025,72
171,20.307,110.03,20.302,110.025,20.312,110.035,81
172,20.307,110.04,20.302,110.035,20.312,110.045,38
173,20.307,110.05,20.302,110.045,20.312,110.055,18
174,20.307,110.06,20.302,110.055,20.312,110.065,10
175,20.307,110.07,20.302,110.065,20.312,110.075,11
176,20.307,110.08,20.302,110.075,20.312,110.085,6
177,20.307,110.09,20.302,110.085,20.312,110.095,77
178,20.307,110.1,20.302,110.095,20.312,110.105,90
179,20.307,110.11,20.302,110.105,20.312,110.115,5
180,20.307,110.12,20.302,110.115,20.312,110.125,83
181,20.307,110.13,20.302,110.125,20.312,110.135,34
182,20.307,110.14,20.302,110.135,20.312,110.145,43
183,20.307,110.15,20.302,110.145,20.312,110.155,94
184,20.307,110.16,20.302,110.155,20.312,110.165,5
185,20.307,110.17,20.302,110.165,20.312,110.175,71
186,20.307,110.18,20.302,110.175,20.312,110.185,92
187,20.307,110.19,20.302,110.185,20.312,110.195,39
188,20.307,110.2,20.302,110.195,20.312,110.205,55
189,20.307,110.21,20.302,110.205,20.312,110.215,90
190,20.307,110.22,20.302,110.215,20.312,110.225,30
191,20.307,110.23,20.302,110.225,20.312,110.235,72
192,20.307,110.24,20.302,110.235,20.312,110.245,15
193,20.307,110.25,20.302,110.245,20.312,110.255,84
194,20.307,110.26,20.302,110.255,20.312,110.265,52
195,20.307,110.27,20.302,110.265,20.312,110.275,7
196,20.307,110.28,20.302,110.275,20.312,110.285,71
197,20.307,110.29,20.302,110.285,20.312,110.295,69
198,20.307,110.3,20.302,110.295,20.312,110.305,87
199,20.307,110.31,20.302,110.305,20.312,110.315,79
200,20.307,110.32,20.302,110.315,20.312,110.325,83
201,20.307,110.33,20.302,110.325,20.312,110.335,92
202,20.307,110.34,20.302,110.335,20.312,110.345,75
203,20.307,110.35,20.302,110.345,20.312,110.355,40
204,20.307,110.36,20.302,110.355,20.312,110.365,15
205,20.307,110.37,20.302,110.365,20.312,110.375,83
206,20.307,110.39,20.302,110.385,20.312,110.395,35
207,20.307,110.4,20.302,110.395,20.312,110.405,80
208,20.317,109.93,20.312,109.925,20.322,109.935,57
209,20.317,109.94,20.312,109.935,20.322,109.945,57
210,20.317,109.95,20.312,109.945,20.322,109.955,18
211,20.317,109.96,20.312,109.955,20.322,109.965,34
212,20.317,109.97,20.312,109.965,20.322,109.975,27
213,20.317,109.98,20.312,109.975,20.322,109.985,27
214,20.317,109.99,20.312,109.985,20.322,109.995,39
215,20.317,110,20.312,109.995,20.322,110.005,72
216,20.317,110.01,20.312,110.005,20.322,110.015,92
217,20.317,110.02,20.312,110.015,20.322,110.025,57
218,20.317,110.03,20.312,110.025,20.322,110.035,64
219,20.317,110.04,20.312,110.035,20.322,110.045,84
220,20.317,110.05,20.312,110.045,20.322,110.055,76
221,20.317,110.06,20.312,110.055,20.322,110.065,84
222,20.317,110.07,20.312,110.065,20.322,110.075,52
223,20.317,110.08,20.312,110.075,20.322,110.085,77
224,20.317,110.09,20.312,110.085,20.322,110.095,28
225,20.317,110.1,20.312,110.095,20.322,110.105,11
226,20.317,110.11,20.312,110.105,20.322,110.115,45
227,20.317,110.12,20.312,110.115,20.322,110.125,16
228,20.317,110.13,20.312,110.125,20.322,110.135,51
229,20.317,110.14,20.312,110.135,20.322,110.145,84
230,20.317,110.15,20.312,110.145,20.322,110.155,45
231,20.317,110.16,20.312,110.155,20.322,110.165,45
232,20.317,110.17,20.312,110.165,20.322,110.175,45
233,20.317,110.18,20.312,110.175,20.322,110.185,11
234,20.317,110.19,20.312,110.185,20.322,110.195,32
235,20.317,110.2,20.312,110.195,20.322,110.205,22
236,20.317,110.21,20.312,110.205,20.322,110.215,42
237,20.317,110.22,20.312,110.215,20.322,110.225,86
238,20.317,110.23,20.312,110.225,20.322,110.235,69
239,20.317,110.24,20.312,110.235,20.322,110.245,52
240,20.317,110.25,20.312,110.245,20.322,110.255,22
241,20.317,110.26,20.312,110.255,20.322,110.265,3
242,20.317,110.27,20.312,110.265,20.322,110.275,1
243,20.317,110.28,20.312,110.275,20.322,110.285,13
244,20.317,110.29,20.312,110.285,20.322,110.295,61
245,20.317,110.3,20.312,110.295,20.322,110.305,82
246,20.317,110.31,20.312,110.305,20.322,110.315,36
247,20.317,110.32,20.312,110.315,20.322,110.325,2
248,20.317,110.33,20.312,110.325,20.322,110.335,60
249,20.317,110.34,20.312,110.335,20.322,110.345,70
250,20.317,110.35,20.312,110.345,20.322,110.355,41
251,20.317,110.36,20.312,110.355,20.322,110.365,43
252,20.317,110.37,20.312,110.365,20.322,110.375,44
253,20.317,110.38,20.312,110.375,20.322,110.385,46
254,20.317,110.39,20.312,110.385,20.322,110.395,86
255,20.317,110.4,20.312,110.395,20.322,110.405,31
256,20.317,110.41,20.312,110.405,20.322,110.415,40
257,20.327,109.93,20.322,109.925,20.332,109.935,16
258,20.327,109.94,20.322,109.935,20.332,109.945,15
259,20.327,109.95,20.322,109.945,20.332,109.955,83
260,20.327,109.96,20.322,109.955,20.332,109.965,32
261,20.327,109.97,20.322,109.965,20.332,109.975,38
262,20.327,109.98,20.322,109.975,20.332,109.985,79
263,20.327,109.99,20.322,109.985,20.332,109.995,83
264,20.327,110,20.322,109.995,20.332,110.005,33
265,20.327,110.01,20.322,110.005,20.332,110.015,3
266,20.327,110.02,20.322,110.015,20.332,110.025,71
267,20.327,110.03,20.322,110.025,20.332,110.035,66
268,20.327,110.04,20.322,110.035,20.332,110.045,16
269,20.327,110.05,20.322,110.045,20.332,110.055,62
270,20.327,110.06,20.322,110.055,20.332,110.065,82
271,20.327,110.07,20.322,110.065,20.332,110.075,69
272,20.327,110.08,20.322,110.075,20.332,110.085,54
273,20.327,110.09,20.322,110.085,20.332,110.095,11
274,20.327,110.1,20.322,110.095,20.332,110.105,18
275,20.327,110.11,20.322,110.105,20.332,110.115,7
276,20.327,110.12,20.322,110.115,20.332,110.125,37
277,20.327,110.13,20.322,110.125,20.332,110.135,40
278,20.327,110.14,20.322,110.135,20.332,110.145,67
279,20.327,110.15,20.322,110.145,20.332,110.155,2
280,20.327,110.16,20.322,110.155,20.332,110.165,88
281,20.327,110.17,20.322,110.165,20.332,110.175,19
282,20.327,110.18,20.322,110.175,20.332,110.185,82
283,20.327,110.19,20.322,110.185,20.332,110.195,37
284,20.327,110.2,20.322,110.195,20.332,110.205,30
285,20.327,110.21,20.322,110.205,20.332,110.215,91
286,20.327,110.22,20.322,110.215,20.332,110.225,42
287,20.327,110.23,20.322,110.225,20.332,110.235,79
288,20.327,110.24,20.322,110.235,20.332,110.245,22
289,20.327,110.25,20.322,110.245,20.332,110.255,55
290,20.327,110.26,20.322,110.255,20.332,110.265,47
291,20.327,110.27,20.322,110.265,20.332,110.275,49
292,20.327,110.28,20.322,110.275,20.332,110.285,50
293,20.327,110.29,20.322,110.285,20.332,110.295,90
294,20.327,110.3,20.322,110.295,20.332,110.305,67
295,20.327,110.31,20.322,110.305,20.332,110.315,53
296,20.327,110.32,20.322,110.315,20.332,110.325,82
297,20.327,110.33,20.322,110.325,20.332,110.335,1
298,20.327,110.34,20.322,110.335,20.332,110.345,2
299,20.327,110.35,20.322,110.345,20.332,110.355,82
300,20.327,110.36,20.322,110.355,20.332,110.365,30
301,20.327,110.37,20.322,110.365,20.332,110.375,6
302,20.327,110.38,20.322,110.375,20.332,110.385,91
303,20.327,110.39,20.322,110.385,20.332,110.395,52
304,20.327,110.4,20.322,110.395,20.332,110.405,62
305,20.327,110.41,20.322,110.405,20.332,110.415,45
306,20.327,110.42,20.322,110.415,20.332,110.425,50
307,20.327,110.43,20.322,110.425,20.332,110.435,16
308,20.337,109.93,20.332,109.925,20.342,109.935,19
309,20.337,109.94,20.332,109.935,20.342,109.945,53
310,20.337,109.95,20.332,109.945,20.342,109.955,80
311,20.337,109.96,20.332,109.955,20.342,109.965,72
312,20.337,109.97,20.332,109.965,20.342,109.975,94
313,20.337,109.98,20.332,109.975,20.342,109.985,47
314,20.337,109.99,20.332,109.985,20.342,109.995,25
315,20.337,110,20.332,109.995,20.342,110.005,22
316,20.337,110.01,20.332,110.005,20.342,110.015,48
317,20.337,110.02,20.332,110.015,20.342,110.025,31
318,20.337,110.03,20.332,110.025,20.342,110.035,53
319,20.337,110.04,20.332,110.035,20.342,110.045,44
320,20.337,110.05,20.332,110.045,20.342,110.055,22
321,20.337,110.06,20.332,110.055,20.342,110.065,89
322,20.337,110.07,20.332,110.065,20.342,110.075,61
323,20.337,110.08,20.332,110.075,20.342,110.085,17
324,20.337,110.09,20.332,110.085,20.342,110.095,87
325,20.337,110.1,20.332,110.095,20.342,110.105,89
326,20.337,110.11,20.332,110.105,20.342,110.115,57
327,20.337,110.12,20.332,110.115,20.342,110.125,11
328,20.337,110.13,20.332,110.125,20.342,110.135,71
329,20.337,110.14,20.332,110.135,20.342,110.145,71
330,20.337,110.15,20.332,110.145,20.342,110.155,41
331,20.337,110.16,20.332,110.155,20.342,110.165,36
332,20.337,110.17,20.332,110.165,20.342,110.175,6
333,20.337,110.18,20.332,110.175,20.342,110.185,59
334,20.337,110.19,20.332,110.185,20.342,110.195,84
335,20.337,110.2,20.332,110.195,20.342,110.205,62
336,20.337,110.21,20.332,110.205,20.342,110.215,45
337,20.337,110.22,20.332,110.215,20.342,110.225,1
338,20.337,110.23,20.332,110.225,20.342,110.235,1
339,20.337,110.24,20.332,110.235,20.342,110.245,86
340,20.337,110.25,20.332,110.245,20.342,110.255,34
341,20.337,110.26,20.332,110.255,20.342,110.265,17
342,20.337,110.27,20.332,110.265,20.342,110.275,94
343,20.337,110.28,20.332,110.275,20.342,110.285,0
344,20.337,110.29,20.332,110.285,20.342,110.295,8
345,20.337,110.3,20.332,110.295,20.342,110.305,6
346,20.337,110.31,20.332,110.305,20.342,110.315,70
347,20.337,110.32,20.332,110.315,20.342,110.325,79
348,20.337,110.33,20.332,110.325,20.342,110.335,68
349,20.337,110.34,20.332,110.335,20.342,110.345,13
350,20.337,110.35,20.332,110.345,20.342,110.355,67
351,20.337,110.36,20.332,110.355,20.342,110.365,86
352,20.337,110.37,20.332,110.365,20.342,110.375,3
353,20.337,110.38,20.332,110.375,20.342,110.385,40
354,20.337,110.39,20.332,110.385,20.342,110.395,1
355,20.337,110.4,20.332,110.395,20.342,110.405,54
356,20.337,110.41,20.332,110.405,20.342,110.415,80
357,20.337,110.42,20.332,110.415,20.342,110.425,88
358,20.337,110.43,20.332,110.425,20.342,110.435,90
359,20.337,110.44,20.332,110.435,20.342,110.445,53
360,20.347,109.92,20.342,109.915,20.352,109.925,45
361,20.347,109.93,20.342,109.925,20.352,109.935,6
362,20.347,109.94,20.342,109.935,20.352,109.945,46
363,20.347,109.95,20.342,109.945,20.352,109.955,95
364,20.347,109.96,20.342,109.955,20.352,109.965,13
365,20.347,109.97,20.342,109.965,20.352,109.975,71
366,20.347,109.98,20.342,109.975,20.352,109.985,50
367,20.347,109.99,20.342,109.985,20.352,109.995,6
368,20.347,110,20.342,109.995,20.352,110.005,88
369,20.347,110.01,20.342,110.005,20.352,110.015,65
370,20.347,110.02,20.342,110.015,20.352,110.025,3
371,20.347,110.03,20.342,110.025,20.352,110.035,94
372,20.347,110.04,20.342,110.035,20.352,110.045,11
373,20.347,110.05,20.342,110.045,20.352,110.055,26
374,20.347,110.06,20.342,110.055,20.352,110.065,1
375,20.347,110.07,20.342,110.065,20.352,110.075,42
376,20.347,110.08,20.342,110.075,20.352,110.085,8
377,20.347,110.09,20.342,110.085,20.352,110.095,85
378,20.347,110.1,20.342,110.095,20.352,110.105,6
379,20.347,110.11,20.342,110.105,20.352,110.115,4
380,20.347,110.12,20.342,110.115,20.352,110.125,89
381,20.347,110.13,20.342,110.125,20.352,110.135,54
382,20.347,110.14,20.342,110.135,20.352,110.145,77
383,20.347,110.15,20.342,110.145,20.352,110.155,50
384,20.347,110.16,20.342,110.155,20.352,110.165,24
385,20.347,110.17,20.342,110.165,20.352,110.175,57
386,20.347,110.18,20.342,110.175,20.352,110.185,4
387,20.347,110.19,20.342,110.185,20.352,110.195,23
388,20.347,110.2,20.342,110.195,20.352,110.205,2
389,20.347,110.21,20.342,110.205,20.352,110.215,68
390,20.347,110.22,20.342,110.215,20.352,110.225,6
391,20.347,110.23,20.342,110.225,20.352,110.235,32
392,20.347,110.24,20.342,110.235,20.352,110.245,88
393,20.347,110.25,20.342,110.245,20.352,110.255,12
394,20.347,110.26,20.342,110.255,20.352,110.265,29
395,20.347,110.27,20.342,110.265,20.352,110.275,9
396,20.347,110.28,20.342,110.275,20.352,110.285,93
397,20.347,110.29,20.342,110.285,20.352,110.295,54
398,20.347,110.3,20.342,110.295,20.352,110.305,62
399,20.347,110.31,20.342,110.305,20.352,110.315,28
400,20.347,110.32,20.342,110.315,20.352,110.325,63
401,20.347,110.33,20.342,110.325,20.352,110.335,36
402,20.347,110.34,20.342,110.335,20.352,110.345,18
403,20.347,110.35,20.342,110.345,20.352,110.355,78
404,20.347,110.36,20.342,110.355,20.352,110.365,6
405,20.347,110.37,20.342,110.365,20.352,110.375,48
406,20.347,110.38,20.342,110.375,20.352,110.385,57
407,20.347,110.39,20.342,110.385,20.352,110.395,92
408,20.347,110.4,20.342,110.395,20.352,110.405,15
409,20.347,110.41,20.342,110.405,20.352,110.415,17
410,20.347,110.42,20.342,110.415,20.352,110.425,76
411,20.347,110.43,20.342,110.425,20.352,110.435,46
412,20.347,110.44,20.342,110.435,20.352,110.445,79
413,20.347,110.57,20.342,110.565,20.352,110.575,78
414,20.357,109.91,20.352,109.905,20.362,109.915,68
415,20.357,109.92,20.352,109.915,20.362,109.925,24
416,20.357,109.93,20.352,109.925,20.362,109.935,51
417,20.357,109.94,20.352,109.935,20.362,109.945,46
418,20.357,109.95,20.352,109.945,20.362,109.955,19
419,20.357,109.96,20.352,109.955,20.362,109.965,87
420,20.357,109.97,20.352,109.965,20.362,109.975,29
421,20.357,109.98,20.352,109.975,20.362,109.985,15
422,20.357,109.99,20.352,109.985,20.362,109.995,2
423,20.357,110,20.352,109.995,20.362,110.005,54
424,20.357,110.01,20.352,110.005,20.362,110.015,4
425,20.357,110.02,20.352,110.015,20.362,110.025,46
426,20.357,110.03,20.352,110.025,20.362,110.035,51
427,20.357,110.04,20.352,110.035,20.362,110.045,31
428,20.357,110.05,20.352,110.045,20.362,110.055,2
429,20.357,110.06,20.352,110.055,20.362,110.065,53
430,20.357,110.07,20.352,110.065,20.362,110.075,90
431,20.357,110.08,20.352,110.075,20.362,110.085,67
432,20.357,110.09,20.352,110.085,20.362,110.095,12
433,20.357,110.1,20.352,110.095,20.362,110.105,9
434,20.357,110.11,20.352,110.105,20.362,110.115,62
435,20.357,110.12,20.352,110.115,20.362,110.125,59
436,20.357,110.13,20.352,110.125,20.362,110.135,3
437,20.357,110.14,20.352,110.135,20.362,110.145,54
438,20.357,110.15,20.352,110.145,20.362,110.155,88
439,20.357,110.16,20.352,110.155,20.362,110.165,26
440,20.357,110.17,20.352,110.165,20.362,110.175,40
441,20.357,110.18,20.352,110.175,20.362,110.185,6
442,20.357,110.19,20.352,110.185,20.362,110.195,86
443,20.357,110.2,20.352,110.195,20.362,110.205,63
444,20.357,110.21,20.352,110.205,20.362,110.215,16
445,20.357,110.22,20.352,110.215,20.362,110.225,17
446,20.357,110.23,20.352,110.225,20.362,110.235,0
447,20.357,110.24,20.352,110.235,20.362,110.245,23
448,20.357,110.25,20.352,110.245,20.362,110.255,5
449,20.357,110.26,20.352,110.255,20.362,110.265,17
450,20.357,110.27,20.352,110.265,20.362,110.275,82
451,20.357,110.28,20.352,110.275,20.362,110.285,0
452,20.357,110.29,20.352,110.285,20.362,110.295,23
453,20.357,110.3,20.352,110.295,20.362,110.305,57
454,20.357,110.31,20.352,110.305,20.362,110.315,3
455,20.357,110.32,20.352,110.315,20.362,110.325,81
456,20.357,110.33,20.352,110.325,20.362,110.335,59
457,20.357,110.34,20.352,110.335,20.362,110.345,62
458,20.357,110.35,20.352,110.345,20.362,110.355,5
459,20.357,110.36,20.352,110.355,20.362,110.365,42
460,20.357,110.37,20.352,110.365,20.362,110.375,36
461,20.357,110.38,20.352,110.375,20.362,110.385,68
462,20.357,110.39,20.352,110.385,20.362,110.395,68
463,20.357,110.4,20.352,110.395,20.362,110.405,11
464,20.357,110.41,20.352,110.405,20.362,110.415,23
465,20.357,110.42,20.352,110.415,20.362,110.425,42
466,20.357,110.43,20.352,110.425,20.362,110.435,47
467,20.357,110.44,20.352,110.435,20.362,110.445,82
468,20.357,110.45,20.352,110.445,20.362,110.455,66
469,20.357,110.58,20.352,110.575,20.362,110.585,62
470,20.367,109.89,20.362,109.885,20.372,109.895,1
471,20.367,109.9,20.362,109.895,20.372,109.905,20
472,20.367,109.91,20.362,109.905,20.372,109.915,80
473,20.367,109.92,20.362,109.915,20.372,109.925,5
474,20.367,109.93,20.362,109.925,20.372,109.935,95
475,20.367,109.94,20.362,109.935,20.372,109.945,84
476,20.367,109.95,20.362,109.945,20.372,109.955,13
477,20.367,109.96,20.362,109.955,20.372,109.965,82
478,20.367,109.97,20.362,109.965,20.372,109.975,28
479,20.367,109.99,20.362,109.985,20.372,109.995,25
480,20.367,110,20.362,109.995,20.372,110.005,64
481,20.367,110.01,20.362,110.005,20.372,110.015,46
482,20.367,110.02,20.362,110.015,20.372,110.025,8
483,20.367,110.03,20.362,110.025,20.372,110.035,7
484,20.367,110.04,20.362,110.035,20.372,110.045,63
485,20.367,110.05,20.362,110.045,20.372,110.055,68
486,20.367,110.06,20.362,110.055,20.372,110.065,51
487,20.367,110.07,20.362,110.065,20.372,110.075,32
488,20.367,110.08,20.362,110.075,20.372,110.085,6
489,20.367,110.09,20.362,110.085,20.372,110.095,55
490,20.367,110.1,20.362,110.095,20.372,110.105,79
491,20.367,110.11,20.362,110.105,20.372,110.115,3
492,20.367,110.12,20.362,110.115,20.372,110.125,3
493,20.367,110.13,20.362,110.125,20.372,110.135,44
494,20.367,110.14,20.362,110.135,20.372,110.145,61
495,20.367,110.15,20.362,110.145,20.372,110.155,63
496,20.367,110.16,20.362,110.155,20.372,110.165,21
497,20.367,110.17,20.362,110.165,20.372,110.175,69
498,20.367,110.18,20.362,110.175,20.372,110.185,58
